kba |t0| |t1| |t2| |t3| |t4|
1.190129e+00 4.177861e-01 9.747782e-01 4.357652e-01 7.340315e-02 4.780237e-03
1.197210e+00 4.112332e-01 9.762460e-01 4.398833e-01 7.489749e-02 4.940963e-03
1.204292e+00 4.046593e-01 9.776706e-01 4.440048e-01 7.641019e-02 5.105926e-03
1.211373e+00 3.980648e-01 9.790521e-01 4.481294e-01 7.794130e-02 5.275202e-03
1.218455e+00 3.914500e-01 9.803902e-01 4.522568e-01 7.949082e-02 5.448871e-03
1.225536e+00 3.848151e-01 9.816849e-01 4.563868e-01 8.105878e-02 5.627011e-03
1.232618e+00 3.781607e-01 9.829361e-01 4.605192e-01 8.264520e-02 5.809702e-03
1.239700e+00 3.714870e-01 9.841437e-01 4.646535e-01 8.425010e-02 5.997022e-03
1.246781e+00 3.647943e-01 9.853077e-01 4.687897e-01 8.587349e-02 6.189054e-03
1.253863e+00 3.580831e-01 9.864279e-01 4.729273e-01 8.751539e-02 6.385877e-03
1.260944e+00 3.513536e-01 9.875042e-01 4.770662e-01 8.917580e-02 6.587574e-03
1.268026e+00 3.446063e-01 9.885366e-01 4.812061e-01 9.085474e-02 6.794227e-03
1.275107e+00 3.378415e-01 9.895250e-01 4.853466e-01 9.255221e-02 7.005918e-03
1.282189e+00 3.310595e-01 9.904693e-01 4.894876e-01 9.426821e-02 7.222730e-03
1.289270e+00 3.242607e-01 9.913694e-01 4.936288e-01 9.600275e-02 7.444748e-03
1.296352e+00 3.174454e-01 9.922253e-01 4.977698e-01 9.775582e-02 7.672054e-03
1.303433e+00 3.106141e-01 9.930368e-01 5.019105e-01 9.952742e-02 7.904734e-03
1.310515e+00 3.037670e-01 9.938040e-01 5.060506e-01 1.013176e-01 8.142873e-03
1.317597e+00 2.969046e-01 9.945267e-01 5.101897e-01 1.031262e-01 8.386556e-03
1.324678e+00 2.900271e-01 9.952049e-01 5.143277e-01 1.049534e-01 8.635869e-03
1.331760e+00 2.831350e-01 9.958385e-01 5.184642e-01 1.067990e-01 8.890898e-03
1.338841e+00 2.762285e-01 9.964274e-01 5.225990e-01 1.086631e-01 9.151730e-03
1.345923e+00 2.693081e-01 9.969716e-01 5.267319e-01 1.105458e-01 9.418452e-03
1.353004e+00 2.623742e-01 9.974711e-01 5.308625e-01 1.124468e-01 9.691151e-03
1.360086e+00 2.554270e-01 9.979257e-01 5.349906e-01 1.143663e-01 9.969915e-03
1.367167e+00 2.484670e-01 9.983355e-01 5.391160e-01 1.163042e-01 1.025483e-02
1.374249e+00 2.414945e-01 9.987003e-01 5.432383e-01 1.182605e-01 1.054599e-02
1.381330e+00 2.345098e-01 9.990202e-01 5.473573e-01 1.202351e-01 1.084348e-02
1.388412e+00 2.275134e-01 9.992950e-01 5.514728e-01 1.222280e-01 1.114738e-02
1.395494e+00 2.205056e-01 9.995247e-01 5.555844e-01 1.242393e-01 1.145780e-02
1.402575e+00 2.134868e-01 9.997094e-01 5.596919e-01 1.262688e-01 1.177481e-02
1.409657e+00 2.064572e-01 9.998489e-01 5.637951e-01 1.283166e-01 1.209850e-02
1.416738e+00 1.994174e-01 9.999432e-01 5.678936e-01 1.303825e-01 1.242898e-02
1.423820e+00 1.923676e-01 9.999923e-01 5.719873e-01 1.324666e-01 1.276632e-02
1.430901e+00 1.853083e-01 9.999961e-01 5.760758e-01 1.345688e-01 1.311061e-02
1.437983e+00 1.782397e-01 9.999546e-01 5.801588e-01 1.366891e-01 1.346195e-02
1.445064e+00 1.711623e-01 9.998678e-01 5.842363e-01 1.388274e-01 1.382043e-02
1.452146e+00 1.640764e-01 9.997357e-01 5.883077e-01 1.409837e-01 1.418614e-02
1.459227e+00 1.569824e-01 9.995582e-01 5.923730e-01 1.431579e-01 1.455916e-02
1.466309e+00 1.498807e-01 9.993353e-01 5.964318e-01 1.453500e-01 1.493960e-02
1.473391e+00 1.427715e-01 9.990670e-01 6.004839e-01 1.475599e-01 1.532753e-02
1.480472e+00 1.356554e-01 9.987533e-01 6.045290e-01 1.497876e-01 1.572305e-02
1.487554e+00 1.285326e-01 9.983941e-01 6.085668e-01 1.520330e-01 1.612625e-02
1.494635e+00 1.214036e-01 9.979895e-01 6.125972e-01 1.542961e-01 1.653723e-02
1.501717e+00 1.142687e-01 9.975394e-01 6.166197e-01 1.565767e-01 1.695606e-02
1.508798e+00 1.071282e-01 9.970438e-01 6.206343e-01 1.588749e-01 1.738285e-02
1.515880e+00 9.998257e-02 9.965028e-01 6.246405e-01 1.611906e-01 1.781769e-02
1.522961e+00 9.283214e-02 9.959162e-01 6.286383e-01 1.635237e-01 1.826065e-02
1.530043e+00 8.567728e-02 9.952842e-01 6.326272e-01 1.658741e-01 1.871184e-02
1.537124e+00 7.851837e-02 9.946067e-01 6.366070e-01 1.682418e-01 1.917135e-02
1.544206e+00 7.135577e-02 9.938836e-01 6.405775e-01 1.706268e-01 1.963926e-02
1.551288e+00 6.418985e-02 9.931152e-01 6.445385e-01 1.730288e-01 2.011566e-02
1.558369e+00 5.702098e-02 9.923012e-01 6.484896e-01 1.754479e-01 2.060065e-02
1.565451e+00 4.984953e-02 9.914418e-01 6.524306e-01 1.778840e-01 2.109432e-02
1.572532e+00 4.267588e-02 9.905369e-01 6.563613e-01 1.803370e-01 2.159674e-02
1.579614e+00 3.550038e-02 9.895866e-01 6.602814e-01 1.828068e-01 2.210803e-02
