w_norm abs_rho re_rho im_rho abs_S re_S im_S phase_rho_pi phase_S_pi 
0.652102 2.041414e+00 2.040560e+00 5.902882e-02 1.124959e+00 1.124231e+00 4.045085e-02 0.009205 0.011448
0.653103 2.043768e+00 2.042905e+00 5.938767e-02 1.126574e+00 1.125838e+00 4.069675e-02 0.009251 0.011501
0.654104 2.046137e+00 2.045265e+00 5.974958e-02 1.128198e+00 1.127455e+00 4.094476e-02 0.009296 0.011555
0.655105 2.048520e+00 2.047638e+00 6.011460e-02 1.129833e+00 1.129082e+00 4.119490e-02 0.009342 0.011608
0.656106 2.050918e+00 2.050026e+00 6.048275e-02 1.131477e+00 1.130718e+00 4.144718e-02 0.009389 0.011663
0.657107 2.053330e+00 2.052428e+00 6.085408e-02 1.133132e+00 1.132364e+00 4.170164e-02 0.009435 0.011717
0.658108 2.055757e+00 2.054845e+00 6.122861e-02 1.134796e+00 1.134021e+00 4.195830e-02 0.009482 0.011772
0.659109 2.058199e+00 2.057277e+00 6.160640e-02 1.136471e+00 1.135687e+00 4.221719e-02 0.009529 0.011827
0.660110 2.060656e+00 2.059724e+00 6.198747e-02 1.138156e+00 1.137364e+00 4.247833e-02 0.009577 0.011883
0.661111 2.063128e+00 2.062185e+00 6.237187e-02 1.139852e+00 1.139050e+00 4.274175e-02 0.009625 0.011939
0.662112 2.065616e+00 2.064662e+00 6.275964e-02 1.141558e+00 1.140748e+00 4.300747e-02 0.009673 0.011995
0.663113 2.068119e+00 2.067154e+00 6.315080e-02 1.143275e+00 1.142455e+00 4.327553e-02 0.009721 0.012052
0.664114 2.070637e+00 2.069662e+00 6.354542e-02 1.145002e+00 1.144174e+00 4.354594e-02 0.009770 0.012109
0.665115 2.073171e+00 2.072184e+00 6.394352e-02 1.146740e+00 1.145902e+00 4.381875e-02 0.009819 0.012166
0.666116 2.075721e+00 2.074723e+00 6.434514e-02 1.148489e+00 1.147642e+00 4.409397e-02 0.009869 0.012224
0.667117 2.078286e+00 2.077277e+00 6.475034e-02 1.150249e+00 1.149393e+00 4.437165e-02 0.009919 0.012282
0.668118 2.080868e+00 2.079848e+00 6.515915e-02 1.152020e+00 1.151154e+00 4.465179e-02 0.009969 0.012341
0.669119 2.083466e+00 2.082434e+00 6.557161e-02 1.153802e+00 1.152926e+00 4.493444e-02 0.010020 0.012400
0.670120 2.086081e+00 2.085037e+00 6.598778e-02 1.155595e+00 1.154710e+00 4.521963e-02 0.010071 0.012459
0.671121 2.088711e+00 2.087656e+00 6.640769e-02 1.157399e+00 1.156504e+00 4.550738e-02 0.010122 0.012519
0.672122 2.091359e+00 2.090291e+00 6.683139e-02 1.159215e+00 1.158310e+00 4.579773e-02 0.010174 0.012579
0.673123 2.094024e+00 2.092943e+00 6.725893e-02 1.161043e+00 1.160128e+00 4.609071e-02 0.010226 0.012639
0.674124 2.096705e+00 2.095612e+00 6.769035e-02 1.162882e+00 1.161957e+00 4.638636e-02 0.010278 0.012700
0.675125 2.099403e+00 2.098298e+00 6.812571e-02 1.164733e+00 1.163797e+00 4.668469e-02 0.010331 0.012762
0.676126 2.102119e+00 2.101001e+00 6.856504e-02 1.166596e+00 1.165650e+00 4.698575e-02 0.010384 0.012824
0.677127 2.104852e+00 2.103721e+00 6.900840e-02 1.168471e+00 1.167514e+00 4.728958e-02 0.010438 0.012886
0.678128 2.107603e+00 2.106459e+00 6.945584e-02 1.170358e+00 1.169390e+00 4.759620e-02 0.010492 0.012949
0.679129 2.110372e+00 2.109214e+00 6.990741e-02 1.172257e+00 1.171278e+00 4.790564e-02 0.010546 0.013012
0.680130 2.113158e+00 2.111987e+00 7.036316e-02 1.174168e+00 1.173178e+00 4.821796e-02 0.010601 0.013075
0.681131 2.115963e+00 2.114777e+00 7.082314e-02 1.176092e+00 1.175090e+00 4.853317e-02 0.010656 0.013139
0.682132 2.118786e+00 2.117586e+00 7.128741e-02 1.178028e+00 1.177015e+00 4.885132e-02 0.010712 0.013204
0.683133 2.121627e+00 2.120413e+00 7.175602e-02 1.179977e+00 1.178952e+00 4.917244e-02 0.010768 0.013269
0.684134 2.124487e+00 2.123259e+00 7.222902e-02 1.181939e+00 1.180902e+00 4.949658e-02 0.010824 0.013334
0.685135 2.127366e+00 2.126123e+00 7.270647e-02 1.183914e+00 1.182865e+00 4.982376e-02 0.010881 0.013400
0.686136 2.130263e+00 2.129006e+00 7.318843e-02 1.185901e+00 1.184840e+00 5.015404e-02 0.010938 0.013466
0.687137 2.133180e+00 2.131907e+00 7.367495e-02 1.187902e+00 1.186829e+00 5.048743e-02 0.010996 0.013533
0.688138 2.136116e+00 2.134828e+00 7.416609e-02 1.189916e+00 1.188830e+00 5.082400e-02 0.011054 0.013600
0.689139 2.139071e+00 2.137768e+00 7.466191e-02 1.191944e+00 1.190845e+00 5.116377e-02 0.011113 0.013668
0.690140 2.142046e+00 2.140727e+00 7.516247e-02 1.193984e+00 1.192873e+00 5.150680e-02 0.011172 0.013736
0.691141 2.145041e+00 2.143706e+00 7.566784e-02 1.196039e+00 1.194914e+00 5.185311e-02 0.011231 0.013804
0.692142 2.148056e+00 2.146705e+00 7.617807e-02 1.198107e+00 1.196969e+00 5.220276e-02 0.011291 0.013873
0.693143 2.151092e+00 2.149724e+00 7.669322e-02 1.200189e+00 1.199038e+00 5.255578e-02 0.011351 0.013943
0.694144 2.154147e+00 2.152763e+00 7.721337e-02 1.202286e+00 1.201121e+00 5.291222e-02 0.011412 0.014013
0.695145 2.157223e+00 2.155822e+00 7.773857e-02 1.204396e+00 1.203217e+00 5.327213e-02 0.011473 0.014084
0.696146 2.160321e+00 2.158902e+00 7.826890e-02 1.206521e+00 1.205328e+00 5.363554e-02 0.011535 0.014155
0.697147 2.163439e+00 2.162003e+00 7.880441e-02 1.208660e+00 1.207453e+00 5.400252e-02 0.011597 0.014227
0.698148 2.166578e+00 2.165125e+00 7.934518e-02 1.210813e+00 1.209592e+00 5.437309e-02 0.011660 0.014299
0.699149 2.169739e+00 2.168267e+00 7.989128e-02 1.212982e+00 1.211746e+00 5.474732e-02 0.011723 0.014372
0.700150 2.172921e+00 2.171432e+00 8.044278e-02 1.215165e+00 1.213914e+00 5.512524e-02 0.011787 0.014445
0.701151 2.176126e+00 2.174618e+00 8.099974e-02 1.217363e+00 1.216097e+00 5.550692e-02 0.011851 0.014519
